CCSR_Code,CCSR_label,proc_cd
EXT014,111,T410X1A
EXT014,111,T410X2A
EXT014,111,T410X3A
EXT014,111,T410X4A
EXT014,111,T411X1A
EXT014,111,T411X2A
EXT014,111,T411X3A
EXT014,111,T411X4A
EXT014,111,T41201A
EXT014,111,T41202A
EXT014,111,T41203A
EXT014,111,T41204A
EXT014,111,T41291A
EXT014,111,T41292A
EXT014,111,T41293A
EXT014,111,T41294A
EXT014,111,T413X1A
EXT014,111,T413X2A
EXT014,111,T413X3A
EXT014,111,T413X4A
EXT014,111,T4141XA
EXT014,111,T4142XA
EXT014,111,T4143XA
EXT014,111,T4144XA
EXT014,111,T415X1A
EXT014,111,T415X2A
EXT014,111,T415X3A
EXT014,111,T415X4A
EXT014,111,T420X1A
EXT014,111,T420X2A
EXT014,111,T420X3A
EXT014,111,T420X4A
EXT014,111,T421X1A
EXT014,111,T421X2A
EXT014,111,T421X3A
EXT014,111,T421X4A
EXT014,111,T422X1A
EXT014,111,T422X2A
EXT014,111,T422X3A
EXT014,111,T422X4A
EXT014,111,T423X1A
EXT014,111,T423X2A
EXT014,111,T423X3A
EXT014,111,T423X4A
EXT014,111,T424X1A
EXT014,111,T424X2A
EXT014,111,T424X3A
EXT014,111,T424X4A
EXT014,111,T425X1A
EXT014,111,T425X2A
EXT014,111,T425X3A
EXT014,111,T425X4A
EXT014,111,T426X1A
EXT014,111,T426X2A
EXT014,111,T426X3A
EXT014,111,T426X4A
EXT014,111,T4271XA
EXT014,111,T4272XA
EXT014,111,T4273XA
EXT014,111,T4274XA
EXT014,111,T428X1A
EXT014,111,T428X2A
EXT014,111,T428X3A
EXT014,111,T428X4A
EXT014,111,T43011A
EXT014,111,T43012A
EXT014,111,T43013A
EXT014,111,T43014A
EXT014,111,T43021A
EXT014,111,T43022A
EXT014,111,T43023A
EXT014,111,T43024A
EXT014,111,T431X1A
EXT014,111,T431X2A
EXT014,111,T431X3A
EXT014,111,T431X4A
EXT014,111,T43201A
EXT014,111,T43202A
EXT014,111,T43203A
EXT014,111,T43204A
EXT014,111,T43211A
EXT014,111,T43212A
EXT014,111,T43213A
EXT014,111,T43214A
EXT014,111,T43221A
EXT014,111,T43222A
EXT014,111,T43223A
EXT014,111,T43224A
EXT014,111,T43291A
EXT014,111,T43292A
EXT014,111,T43293A
EXT014,111,T43294A
EXT014,111,T433X1A
EXT014,111,T433X2A
EXT014,111,T433X3A
EXT014,111,T433X4A
EXT014,111,T434X1A
EXT014,111,T434X2A
EXT014,111,T434X3A
EXT014,111,T434X4A
EXT014,111,T43501A
EXT014,111,T43502A
EXT014,111,T43503A
EXT014,111,T43504A
EXT014,111,T43591A
EXT014,111,T43592A
EXT014,111,T43593A
EXT014,111,T43594A
EXT014,111,T43601A
EXT014,111,T43602A
EXT014,111,T43603A
EXT014,111,T43604A
EXT014,111,T43611A
EXT014,111,T43612A
EXT014,111,T43613A
EXT014,111,T43614A
EXT014,111,T43621A
EXT014,111,T43622A
EXT014,111,T43623A
EXT014,111,T43624A
EXT014,111,T43631A
EXT014,111,T43632A
EXT014,111,T43633A
EXT014,111,T43634A
EXT014,111,T43641A
EXT014,111,T43642A
EXT014,111,T43643A
EXT014,111,T43644A
EXT014,111,T43691A
EXT014,111,T43692A
EXT014,111,T43693A
EXT014,111,T43694A
EXT014,111,T438X1A
EXT014,111,T438X2A
EXT014,111,T438X3A
EXT014,111,T438X4A
EXT014,111,T4391XA
EXT014,111,T4392XA
EXT014,111,T4393XA
EXT014,111,T4394XA
EXT014,111,T440X1A
EXT014,111,T440X2A
EXT014,111,T440X3A
EXT014,111,T440X4A
EXT014,111,T441X1A
EXT014,111,T441X2A
EXT014,111,T441X3A
EXT014,111,T441X4A
EXT014,111,T442X1A
EXT014,111,T442X2A
EXT014,111,T442X3A
EXT014,111,T442X4A
EXT014,111,T443X1A
EXT014,111,T443X2A
EXT014,111,T443X3A
EXT014,111,T443X4A
EXT014,111,T444X1A
EXT014,111,T444X2A
EXT014,111,T444X3A
EXT014,111,T444X4A
EXT014,111,T445X1A
EXT014,111,T445X2A
EXT014,111,T445X3A
EXT014,111,T445X4A
EXT014,111,T446X1A
EXT014,111,T446X2A
EXT014,111,T446X3A
EXT014,111,T446X4A
EXT014,111,T447X1A
